]: unknown ByteOrder '@0+' for signal 'StW_Angl' in message 3; defaulting to 1 (Intel).
Warning: Signals[18]: unknown ByteOrder '@1+' for signal 'TurnIndLvr_Stat' in message 69; defaulting to 1 (Intel).
Warning: Signals[18]: invalid Factor '[0|0]' for 'TurnIndLvr_Stat' in message 69; default 1.0 used.
Warning: Signals[18]: invalid Minimum 'NEO' for 'TurnIndLvr_Stat' in message 69; left empty.
Warning: Signals[19]: unknown ByteOrder '@1+' for signal 'HiBmLvr_Stat' in message 69; defaulting to 1 (Intel).
Warning: Signals[19]: invalid Factor '[0|0]' for 'HiBmLvr_Stat' in message 69; default 1.0 used.
Warning: Signals[19]: invalid Minimum 'NEO' for 'HiBmLvr_Stat' in message 69; left empty.
Warning: Signals[20]: unknown ByteOrder '@1+' for signal 'WprWashSw_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[20]: invalid Factor '[0|0]' for 'WprWashSw_Psd' in message 69; default 1.0 used.
Warning: Signals[20]: invalid Minimum 'NEO' for 'WprWashSw_Psd' in message 69; left empty.
Warning: Signals[21]: unknown ByteOrder '@1+' for signal 'WprWash_R_Sw_Posn_V2' in message 69; defaulting to 1 (Intel).
Warning: Signals[21]: invalid Factor '[0|0]' for 'WprWash_R_Sw_Posn_V2' in message 69; default 1.0 used.
Warning: Signals[21]: invalid Minimum 'NEO' for 'WprWash_R_Sw_Posn_V2' in message 69; left empty.
Warning: Signals[22]: unknown ByteOrder '@1+' for signal 'StW_Lvr_Stat' in message 69; defaulting to 1 (Intel).
Warning: Signals[22]: invalid Factor '[0|0]' for 'StW_Lvr_Stat' in message 69; default 1.0 used.
Warning: Signals[22]: invalid Minimum 'NEO' for 'StW_Lvr_Stat' in message 69; left empty.
Warning: Signals[23]: unknown ByteOrder '@1+' for signal 'StW_Cond_Flt' in message 69; defaulting to 1 (Intel).
Warning: Signals[23]: invalid Factor '[0|0]' for 'StW_Cond_Flt' in message 69; default 1.0 used.
Warning: Signals[23]: invalid Minimum 'NEO' for 'StW_Cond_Flt' in message 69; left empty.
Warning: Signals[24]: unknown ByteOrder '@1+' for signal 'StW_Cond_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[24]: invalid Factor '[0|0]' for 'StW_Cond_Psd' in message 69; default 1.0 used.
Warning: Signals[24]: invalid Minimum 'NEO' for 'StW_Cond_Psd' in message 69; left empty.
Warning: Signals[25]: unknown ByteOrder '@1+' for signal 'HrnSw_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[25]: invalid Factor '[0|0]' for 'HrnSw_Psd' in message 69; default 1.0 used.
Warning: Signals[25]: invalid Minimum 'NEO' for 'HrnSw_Psd' in message 69; left empty.
Warning: Signals[26]: unknown ByteOrder '@1+' for signal 'StW_Sw00_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[26]: invalid Factor '[0|0]' for 'StW_Sw00_Psd' in message 69; default 1.0 used.
Warning: Signals[26]: invalid Minimum 'NEO' for 'StW_Sw00_Psd' in message 69; left empty.
Warning: Signals[27]: unknown ByteOrder '@1+' for signal 'StW_Sw01_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[27]: invalid Factor '[0|0]' for 'StW_Sw01_Psd' in message 69; default 1.0 used.
Warning: Signals[27]: invalid Minimum 'NEO' for 'StW_Sw01_Psd' in message 69; left empty.
Warning: Signals[28]: unknown ByteOrder '@1+' for signal 'StW_Sw02_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[28]: invalid Factor '[0|0]' for 'StW_Sw02_Psd' in message 69; default 1.0 used.
Warning: Signals[28]: invalid Minimum 'NEO' for 'StW_Sw02_Psd' in message 69; left empty.
Warning: Signals[29]: unknown ByteOrder '@1+' for signal 'StW_Sw03_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[29]: invalid Factor '[0|0]' for 'StW_Sw03_Psd' in message 69; default 1.0 used.
Warning: Signals[29]: invalid Minimum 'NEO' for 'StW_Sw03_Psd' in message 69; left empty.
Warning: Signals[30]: unknown ByteOrder '@1+' for signal 'StW_Sw04_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[30]: invalid Factor '[0|0]' for 'StW_Sw04_Psd' in message 69; default 1.0 used.
Warning: Signals[30]: invalid Minimum 'NEO' for 'StW_Sw04_Psd' in message 69; left empty.
Warning: Signals[31]: unknown ByteOrder '@1+' for signal 'StW_Sw05_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[31]: invalid Factor '[0|0]' for 'StW_Sw05_Psd' in message 69; default 1.0 used.
Warning: Signals[31]: invalid Minimum 'NEO' for 'StW_Sw05_Psd' in message 69; left empty.
Warning: Signals[32]: unknown ByteOrder '@1+' for signal 'StW_Sw06_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[32]: invalid Factor '[0|0]' for 'StW_Sw06_Psd' in message 69; default 1.0 used.
Warning: Signals[32]: invalid Minimum 'NEO' for 'StW_Sw06_Psd' in message 69; left empty.
Warning: Signals[33]: unknown ByteOrder '@1+' for signal 'StW_Sw07_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[33]: invalid Factor '[0|0]' for 'StW_Sw07_Psd' in message 69; default 1.0 used.
Warning: Signals[33]: invalid Minimum 'NEO' for 'StW_Sw07_Psd' in message 69; left empty.
Warning: Signals[34]: unknown ByteOrder '@1+' for signal 'StW_Sw08_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[34]: invalid Factor '[0|0]' for 'StW_Sw08_Psd' in message 69; default 1.0 used.
Warning: Signals[34]: invalid Minimum 'NEO' for 'StW_Sw08_Psd' in message 69; left empty.
Warning: Signals[35]: unknown ByteOrder '@1+' for signal 'StW_Sw09_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[35]: invalid Factor '[0|0]' for 'StW_Sw09_Psd' in message 69; default 1.0 used.
Warning: Signals[35]: invalid Minimum 'NEO' for 'StW_Sw09_Psd' in message 69; left empty.
Warning: Signals[36]: unknown ByteOrder '@1+' for signal 'StW_Sw10_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[36]: invalid Factor '[0|0]' for 'StW_Sw10_Psd' in message 69; default 1.0 used.
Warning: Signals[36]: invalid Minimum 'NEO' for 'StW_Sw10_Psd' in message 69; left empty.
Warning: Signals[37]: unknown ByteOrder '@1+' for signal 'StW_Sw11_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[37]: invalid Factor '[0|0]' for 'StW_Sw11_Psd' in message 69; default 1.0 used.
Warning: Signals[37]: invalid Minimum 'NEO' for 'StW_Sw11_Psd' in message 69; left empty.
Warning: Signals[38]: unknown ByteOrder '@1+' for signal 'StW_Sw12_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[38]: invalid Factor '[0|0]' for 'StW_Sw12_Psd' in message 69; default 1.0 used.
Warning: Signals[38]: invalid Minimum 'NEO' for 'StW_Sw12_Psd' in message 69; left empty.
Warning: Signals[39]: unknown ByteOrder '@1+' for signal 'StW_Sw13_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[39]: invalid Factor '[0|0]' for 'StW_Sw13_Psd' in message 69; default 1.0 used.
Warning: Signals[39]: invalid Minimum 'NEO' for 'StW_Sw13_Psd' in message 69; left empty.
Warning: Signals[40]: unknown ByteOrder '@1+' for signal 'StW_Sw14_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[40]: invalid Factor '[0|0]' for 'StW_Sw14_Psd' in message 69; default 1.0 used.
Warning: Signals[40]: invalid Minimum 'NEO' for 'StW_Sw14_Psd' in message 69; left empty.
Warning: Signals[41]: unknown ByteOrder '@1+' for signal 'StW_Sw15_Psd' in message 69; defaulting to 1 (Intel).
Warning: Signals[41]: invalid Factor '[0|0]' for 'StW_Sw15_Psd' in message 69; default 1.0 used.
Warning: Signals[41]: invalid Minimum 'NEO' for 'StW_Sw15_Psd' in message 69; left empty.
Warning: Signals[42]: unknown ByteOrder '@1+' for signal 'WprSw6Posn' in message 69; defaulting to 1 (Intel).
Warning: Signals[42]: invalid Factor '[0|0]' for 'WprSw6Posn' in message 69; default 1.0 used.
Warning: Signals[42]: invalid Minimum 'NEO' for 'WprSw6Posn' in message 69; left empty.
Warning: Signals[43]: unknown ByteOrder '@1+' for signal 'MC_STW_ACTN_RQ' in message 69; defaulting to 1 (Intel).
Warning: Signals[43]: invalid Factor '[0|15]' for 'MC_STW_ACTN_RQ' in message 69; default 1.0 used.
Warning: Signals[43]: invalid Minimum 'NEO' for 'MC_STW_ACTN_RQ' in message 69; left empty.
Warning: Signals[44]: unknown ByteOrder '@1+' for signal 'CRC_STW_ACTN_RQ' in message 69; defaulting to 1 (Intel).
Warning: Signals[44]: invalid Factor '[0|0]' for 'CRC_STW_ACTN_RQ' in message 69; default 1.0 used.
Warning: Signals[44]: invalid Minimum 'NEO' for 'CRC_STW_ACTN_RQ' in message 69; left empty.
Warning: Signals[45]: unknown ByteOrder '@1-' for signal 'MCU_elevation' in message 104; defaulting to 1 (Intel).
Warning: Signals[45]: invalid Factor '[0|0]' for 'MCU_elevation' in message 104; default 1.0 used.
Warning: Signals[45]: invalid Offset 'm' for 'MCU_elevation' in message 104; default 0.0 used.
Warning: Signals[45]: invalid Minimum 'GTW' for 'MCU_elevation' in message 104; left empty.
Warning: Signals[46]: unknown ByteOrder '@1+' for signal 'MCU_navigonExpectedSpeed' in message 104; defaulting to 1 (Intel).
Warning: Signals[46]: invalid Factor '[0|126]' for 'MCU_navigonExpectedSpeed' in message 104; default 1.0 used.
Warning: Signals[46]: invalid Offset 'mph' for 'MCU_navigonExpectedSpeed' in message 104; default 0.0 used.
Warning: Signals[46]: invalid Minimum 'GTW' for 'MCU_navigonExpectedSpeed' in message 104; left empty.
Warning: Signals[47]: unknown ByteOrder '@1+' for signal 'StW_Sw_Stat3' in message 109; defaulting to 1 (Intel).
Warning: Signals[47]: invalid Factor '[0|0]' for 'StW_Sw_Stat3' in message 109; default 1.0 used.
Warning: Signals[47]: invalid Minimum 'NEO' for 'StW_Sw_Stat3' in message 109; left empty.
Warning: Signals[48]: unknown ByteOrder '@1+' for signal 'MsgTxmtId' in message 109; defaulting to 1 (Intel).
Warning: Signals[48]: invalid Factor '[0|0]' for 'MsgTxmtId' in message 109; default 1.0 used.
Warning: Signals[48]: invalid Minimum 'NEO' for 'MsgTxmtId' in message 109; left empty.
Warning: Signals[49]: unknown ByteOrder '@1+' for signal 'TSL_RND_Posn_StW' in message 109; defaulting to 1 (Intel).
Warning: Signals[49]: invalid Factor '[0|0]' for 'TSL_RND_Posn_StW' in message 109; default 1.0 used.
Warning: Signals[49]: invalid Minimum 'NEO' for 'TSL_RND_Posn_StW' in message 109; left empty.
Warning: Signals[50]: unknown ByteOrder '@1+' for signal 'TSL_P_Psd_StW' in message 109; defaulting to 1 (Intel).
Warning: Signals[50]: invalid Factor '[0|0]' for 'TSL_P_Psd_StW' in message 109; default 1.0 used.
Warning: Signals[50]: invalid Minimum 'NEO' for 'TSL_P_Psd_StW' in message 109; left empty.
Warning: Signals[51]: unknown ByteOrder '@1+' for signal 'MC_SBW_RQ_SCCM' in message 109; defaulting to 1 (Intel).
Warning: Signals[51]: invalid Factor '[0|15]' for 'MC_SBW_RQ_SCCM' in message 109; default 1.0 used.
Warning: Signals[51]: invalid Minimum 'NEO' for 'MC_SBW_RQ_SCCM' in message 109; left empty.
Warning: Signals[52]: unknown ByteOrder '@1+' for signal 'CRC_SBW_RQ_SCCM' in message 109; defaulting to 1 (Intel).
Warning: Signals[52]: invalid Factor '[0|0]' for 'CRC_SBW_RQ_SCCM' in message 109; default 1.0 used.
Warning: Signals[52]: invalid Minimum 'NEO' for 'CRC_SBW_RQ_SCCM' in message 109; left empty.
Warning: Signals[53]: unknown ByteOrder '@0+' for signal 'GTW_epasControlChecksum' in message 257; defaulting to 1 (Intel).
Warning: Signals[53]: invalid Factor '[0|255]' for 'GTW_epasControlChecksum' in message 257; default 1.0 used.
Warning: Signals[53]: invalid Minimum 'NEO' for 'GTW_epasControlChecksum' in message 257; left empty.
Warning: Signals[54]: unknown ByteOrder '@0+' for signal 'GTW_epasControlCounter' in message 257; defaulting to 1 (Intel).
Warning: Signals[54]: invalid Factor '[0|15]' for 'GTW_epasControlCounter' in message 257; default 1.0 used.
Warning: Signals[54]: invalid Minimum 'NEO' for 'GTW_epasControlCounter' in message 257; left empty.
Warning: Signals[55]: unknown ByteOrder '@0+' for signal 'GTW_epasControlType' in message 257; defaulting to 1 (Intel).
Warning: Signals[55]: invalid Factor '[-1|4]' for 'GTW_epasControlType' in message 257; default 1.0 used.
Warning: Signals[55]: invalid Minimum 'NEO' for 'GTW_epasControlType' in message 257; left empty.
Warning: Signals[56]: unknown ByteOrder '@0+' for signal 'GTW_epasEmergencyOn' in message 257; defaulting to 1 (Intel).
Warning: Signals[56]: invalid Factor '[-1|2]' for 'GTW_epasEmergencyOn' in message 257; default 1.0 used.
Warning: Signals[56]: invalid Minimum 'NEO' for 'GTW_epasEmergencyOn' in message 257; left empty.
Warning: Signals[57]: unknown ByteOrder '@0+' for signal 'GTW_epasLDWEnabled' in message 257; defaulting to 1 (Intel).
Warning: Signals[57]: invalid Factor '[-1|2]' for 'GTW_epasLDWEnabled' in message 257; default 1.0 used.
Warning: Signals[57]: invalid Minimum 'NEO' for 'GTW_epasLDWEnabled' in message 257; left empty.
Warning: Signals[58]: unknown ByteOrder '@0+' for signal 'GTW_epasPowerMode' in message 257; defaulting to 1 (Intel).
Warning: Signals[58]: invalid Factor '[4|14]' for 'GTW_epasPowerMode' in message 257; default 1.0 used.
Warning: Signals[58]: invalid Minimum 'NEO' for 'GTW_epasPowerMode' in message 257; left empty.
Warning: Signals[59]: unknown ByteOrder '@0+' for signal 'GTW_epasTuneRequest' in message 257; defaulting to 1 (Intel).
Warning: Signals[59]: invalid Factor '[-1|8]' for 'GTW_epasTuneRequest' in message 257; default 1.0 used.
Warning: Signals[59]: invalid Minimum 'NEO' for 'GTW_epasTuneRequest' in message 257; left empty.
Warning: Signals[60]: unknown ByteOrder '@1-' for signal 'DI_torqueDriver' in message 264; defaulting to 1 (Intel).
Warning: Signals[60]: invalid Factor '[-750|750]' for 'DI_torqueDriver' in message 264; default 1.0 used.
Warning: Signals[60]: invalid Offset 'Nm' for 'DI_torqueDriver' in message 264; default 0.0 used.
Warning: Signals[60]: invalid Minimum 'NEO' for 'DI_torqueDriver' in message 264; left empty.
Warning: Signals[61]: unknown ByteOrder '@1+' for signal 'DI_torque1Counter' in message 264; defaulting to 1 (Intel).
Warning: Signals[61]: invalid Factor '[0|0]' for 'DI_torque1Counter' in message 264; default 1.0 used.
Warning: Signals[61]: invalid Minimum 'NEO' for 'DI_torque1Counter' in message 264; left empty.
Warning: Signals[62]: unknown ByteOrder '@1-' for signal 'DI_torqueMotor' in message 264; defaulting to 1 (Intel).
Warning: Signals[62]: invalid Factor '[-750|750]' for 'DI_torqueMotor' in message 264; default 1.0 used.
Warning: Signals[62]: invalid Offset 'Nm' for 'DI_torqueMotor' in message 264; default 0.0 used.
Warning: Signals[62]: invalid Minimum 'NEO' for 'DI_torqueMotor' in message 264; left empty.
Warning: Signals[63]: unknown ByteOrder '@1+' for signal 'DI_soptState' in message 264; defaulting to 1 (Intel).
Warning: Signals[63]: invalid Factor '[0|0]' for 'DI_soptState' in message 264; default 1.0 used.
Warning: Signals[63]: invalid Minimum 'NEO' for 'DI_soptState' in message 264; left empty.
Warning: Signals[64]: unknown ByteOrder '@1-' for signal 'DI_motorRPM' in message 264; defaulting to 1 (Intel).
Warning: Signals[64]: invalid Factor '[-17000|17000]' for 'DI_motorRPM' in message 264; default 1.0 used.
Warning: Signals[64]: invalid Offset 'RPM' for 'DI_motorRPM' in message 264; default 0.0 used.
Warning: Signals[64]: invalid Minimum 'NEO' for 'DI_motorRPM' in message 264; left empty.
Warning: Signals[65]: unknown ByteOrder '@1+' for signal 'DI_pedalPos' in message 264; defaulting to 1 (Intel).
Warning: Signals[65]: invalid Factor '[0|100]' for 'DI_pedalPos' in message 264; default 1.0 used.
Warning: Signals[65]: invalid Offset '%' for 'DI_pedalPos' in message 264; default 0.0 used.
Warning: Signals[65]: invalid Minimum 'NEO' for 'DI_pedalPos' in message 264; left empty.
Warning: Signals[66]: unknown ByteOrder '@1+' for signal 'DI_torque1Checksum' in message 264; defaulting to 1 (Intel).
Warning: Signals[66]: invalid Factor '[0|0]' for 'DI_torque1Checksum' in message 264; default 1.0 used.
Warning: Signals[66]: invalid Minimum 'NEO' for 'DI_torque1Checksum' in message 264; left empty.
Warning: Signals[67]: unknown ByteOrder '@1-' for signal 'DI_torqueEstimate' in message 280; defaulting to 1 (Intel).
Warning: Signals[67]: invalid Factor '[-750|750]' for 'DI_torqueEstimate' in message 280; default 1.0 used.
Warning: Signals[67]: invalid Offset 'Nm' for 'DI_torqueEstimate' in message 280; default 0.0 used.
Warning: Signals[67]: invalid Minimum 'NEO' for 'DI_torqueEstimate' in message 280; left empty.
Warning: Signals[68]: unknown ByteOrder '@1+' for signal 'DI_gear' in message 280; defaulting to 1 (Intel).
Warning: Signals[68]: invalid Factor '[0|0]' for 'DI_gear' in message 280; default 1.0 used.
Warning: Signals[68]: invalid Minimum 'NEO' for 'DI_gear' in message 280; left empty.
Warning: Signals[69]: unknown ByteOrder '@1+' for signal 'DI_brakePedal' in message 280; defaulting to 1 (Intel).
Warning: Signals[69]: invalid Factor '[0|0]' for 'DI_brakePedal' in message 280; default 1.0 used.
Warning: Signals[69]: invalid Minimum 'NEO' for 'DI_brakePedal' in message 280; left empty.
Warning: Signals[70]: unknown ByteOrder '@1+' for signal 'DI_vehicleSpeed' in message 280; defaulting to 1 (Intel).
Warning: Signals[70]: invalid Factor '[-25|179.75]' for 'DI_vehicleSpeed' in message 280; default 1.0 used.
Warning: Signals[70]: invalid Offset 'MPH' for 'DI_vehicleSpeed' in message 280; default 0.0 used.
Warning: Signals[70]: invalid Minimum 'NEO' for 'DI_vehicleSpeed' in message 280; left empty.
Warning: Signals[71]: unknown ByteOrder '@1+' for signal 'DI_gearRequest' in message 280; defaulting to 1 (Intel).
Warning: Signals[71]: invalid Factor '[0|0]' for 'DI_gearRequest' in message 280; default 1.0 used.
Warning: Signals[71]: invalid Minimum 'NEO' for 'DI_gearRequest' in message 280; left empty.
Warning: Signals[72]: unknown ByteOrder '@1+' for signal 'DI_torqueInterfaceFailure' in message 280; defaulting to 1 (Intel).
Warning: Signals[72]: invalid Factor '[0|0]' for 'DI_torqueInterfaceFailure' in message 280; default 1.0 used.
Warning: Signals[72]: invalid Minimum 'NEO' for 'DI_torqueInterfaceFailure' in message 280; left empty.
Warning: Signals[73]: unknown ByteOrder '@1+' for signal 'DI_torque2Counter' in message 280; defaulting to 1 (Intel).
Warning: Signals[73]: invalid Factor '[0|0]' for 'DI_torque2Counter' in message 280; default 1.0 used.
Warning: Signals[73]: invalid Minimum 'NEO' for 'DI_torque2Counter' in message 280; left empty.
Warning: Signals[74]: unknown ByteOrder '@1+' for signal 'DI_brakePedalState' in message 280; defaulting to 1 (Intel).
Warning: Signals[74]: invalid Factor '[0|0]' for 'DI_brakePedalState' in message 280; default 1.0 used.
Warning: Signals[74]: invalid Minimum 'NEO' for 'DI_brakePedalState' in message 280; left empty.
Warning: Signals[75]: unknown ByteOrder '@1+' for signal 'DI_epbParkRequest' in message 280; defaulting to 1 (Intel).
Warning: Signals[75]: invalid Factor '[0|0]' for 'DI_epbParkRequest' in message 280; default 1.0 used.
Warning: Signals[75]: invalid Minimum 'NEO' for 'DI_epbParkRequest' in message 280; left empty.
Warning: Signals[76]: unknown ByteOrder '@1+' for signal 'DI_epbInterfaceReady' in message 280; defaulting to 1 (Intel).
Warning: Signals[76]: invalid Factor '[0|0]' for 'DI_epbInterfaceReady' in message 280; default 1.0 used.
Warning: Signals[76]: invalid Minimum 'NEO' for 'DI_epbInterfaceReady' in message 280; left empty.
Warning: Signals[77]: unknown ByteOrder '@1+' for signal 'DI_torque2Checksum' in message 280; defaulting to 1 (Intel).
Warning: Signals[77]: invalid Factor '[0|0]' for 'DI_torque2Checksum' in message 280; default 1.0 used.
Warning: Signals[77]: invalid Minimum 'NEO' for 'DI_torque2Checksum' in message 280; left empty.
Warning: Signals[78]: unknown ByteOrder '@0+' for signal 'ESP_135hChecksum' in message 309; defaulting to 1 (Intel).
Warning: Signals[78]: invalid Factor '[0|255]' for 'ESP_135hChecksum' in message 309; default 1.0 used.
Warning: Signals[78]: invalid Minimum 'NEO' for 'ESP_135hChecksum' in message 309; left empty.
Warning: Signals[79]: unknown ByteOrder '@0+' for signal 'ESP_135hCounter' in message 309; defaulting to 1 (Intel).
Warning: Signals[79]: invalid Factor '[0|15]' for 'ESP_135hCounter' in message 309; default 1.0 used.
Warning: Signals[79]: invalid Minimum 'NEO' for 'ESP_135hCounter' in message 309; left empty.
Warning: Signals[80]: unknown ByteOrder '@0+' for signal 'ESP_absBrakeEvent' in message 309; defaulting to 1 (Intel).
Warning: Signals[80]: invalid Factor '[-1|2]' for 'ESP_absBrakeEvent' in message 309; default 1.0 used.
Warning: Signals[80]: invalid Minimum 'NEO' for 'ESP_absBrakeEvent' in message 309; left empty.
Warning: Signals[81]: unknown ByteOrder '@0+' for signal 'ESP_brakeDiscWipingActive' in message 309; defaulting to 1 (Intel).
Warning: Signals[81]: invalid Factor '[-1|2]' for 'ESP_brakeDiscWipingActive' in message 309; default 1.0 used.
Warning: Signals[81]: invalid Minimum 'NEO' for 'ESP_brakeDiscWipingActive' in message 309; left empty.
Warning: Signals[82]: unknown ByteOrder '@0+' for signal 'ESP_brakeLamp' in message 309; defaulting to 1 (Intel).
Warning: Signals[82]: invalid Factor '[-1|2]' for 'ESP_brakeLamp' in message 309; default 1.0 used.
Warning: Signals[82]: invalid Minimum 'NEO' for 'ESP_brakeLamp' in message 309; left empty.
Warning: Signals[83]: unknown ByteOrder '@0+' for signal 'ESP_espFaultLamp' in message 309; defaulting to 1 (Intel).
